status,p_code,name,end_date,title,partner_name,offices_names,number,longitude,start,url,CAS_CODE,latitude,total_budget,document_type,location_type,section_names
ended,LBN2,Bekaa   ,01/31/2020,Supporting vulnerable girls and boys to access and remain in education in Lebanon,WORLD VISION INTERNATIONAL LEBANON,Beirut,LEBA/PCA2017046/PD2019625,0,03/01/2019,https://etools.unicef.org/pmp/interventions/625,LBN2,0,1280417.00 USD,PD,Governorate,Education
ended,35191-01-001,Aakkar ElAatiqa 001   ,01/15/2020,Supporting vulnerable girls and boys to access and remain in education in Lebanon,WAR CHILD HOLLAND LEBANON STICHTING WAR CHILD,Beirut,LEBA/PCA2017045/PD2019621-1,36.2238,01/16/2019,https://etools.unicef.org/pmp/interventions/621,35191,34.5353,933767.00 USD,PD,Informal Settlement,Education
ended,,Al Najda Al Shaabiya Bikfaya   ,01/31/2020,Entrepreneurship Trainings for Lebanese and Non-Lebanese Youth ( GIL programme ),THE NAWAYA NETWORK,Beirut,LEBA/PCA2017043/PD2019638,35.6827940004,02/01/2019,https://etools.unicef.org/pmp/interventions/638,,33.9240219996,1159470.00 USD,PD,Primary Health Care Center,Adolescent & Youth
ended,23511,Baakline   ,01/31/2020,Entrepreneurship Trainings for Lebanese and Non-Lebanese Youth ( GIL programme ),THE NAWAYA NETWORK,Beirut,LEBA/PCA2017043/PD2019638,0,02/01/2019,https://etools.unicef.org/pmp/interventions/638,23511,0,1159470.00 USD,PD,Locality,Adolescent & Youth
ended,LBN33018,Baaqline   ,01/31/2020,Entrepreneurship Trainings for Lebanese and Non-Lebanese Youth ( GIL programme ),THE NAWAYA NETWORK,Beirut,LEBA/PCA2017043/PD2019638,35.55791,02/01/2019,https://etools.unicef.org/pmp/interventions/638,LBN33018,33.67884,1159470.00 USD,PD,Village,Adolescent & Youth
ended,LBN1,Beirut   ,01/31/2020,Entrepreneurship Trainings for Lebanese and Non-Lebanese Youth ( GIL programme ),THE NAWAYA NETWORK,Beirut,LEBA/PCA2017043/PD2019638,0,02/01/2019,https://etools.unicef.org/pmp/interventions/638,LBN1,0,1159470.00 USD,PD,Governorate,Adolescent & Youth
ended,LBN31040,Bsatine   ,01/31/2020,Entrepreneurship Trainings for Lebanese and Non-Lebanese Youth ( GIL programme ),THE NAWAYA NETWORK,Beirut,LEBA/PCA2017043/PD2019638,35.52923,02/01/2019,https://etools.unicef.org/pmp/interventions/638,LBN31040,33.75728,1159470.00 USD,PD,Village,Adolescent & Youth
ended,LBN36070,Dekouane   ,01/31/2020,Entrepreneurship Trainings for Lebanese and Non-Lebanese Youth ( GIL programme ),THE NAWAYA NETWORK,Beirut,LEBA/PCA2017043/PD2019638,35.54903,02/01/2019,https://etools.unicef.org/pmp/interventions/638,LBN36070,33.87615,1159470.00 USD,PD,Village,Adolescent & Youth
ended,73159,ELKhiam   ,01/31/2020,Entrepreneurship Trainings for Lebanese and Non-Lebanese Youth ( GIL programme ),THE NAWAYA NETWORK,Beirut,LEBA/PCA2017043/PD2019638,0,02/01/2019,https://etools.unicef.org/pmp/interventions/638,73159,0,1159470.00 USD,PD,Locality,Adolescent & Youth
ended,LBN4,El Nabatieh   ,01/31/2020,Entrepreneurship Trainings for Lebanese and Non-Lebanese Youth ( GIL programme ),THE NAWAYA NETWORK,Beirut,LEBA/PCA2017043/PD2019638,0,02/01/2019,https://etools.unicef.org/pmp/interventions/638,LBN4,0,1159470.00 USD,PD,Governorate,Adolescent & Youth
ended,22419,Fanar   ,01/31/2020,Entrepreneurship Trainings for Lebanese and Non-Lebanese Youth ( GIL programme ),THE NAWAYA NETWORK,Beirut,LEBA/PCA2017043/PD2019638,0,02/01/2019,https://etools.unicef.org/pmp/interventions/638,22419,0,1159470.00 USD,PD,Locality,Adolescent & Youth
ended,21219,Hadace   ,01/31/2020,Entrepreneurship Trainings for Lebanese and Non-Lebanese Youth ( GIL programme ),THE NAWAYA NETWORK,Beirut,LEBA/PCA2017043/PD2019638,0,02/01/2019,https://etools.unicef.org/pmp/interventions/638,21219,0,1159470.00 USD,PD,Locality,Adolescent & Youth
ended,LBN42017,Hasbaiya   ,01/31/2020,Entrepreneurship Trainings for Lebanese and Non-Lebanese Youth ( GIL programme ),THE NAWAYA NETWORK,Beirut,LEBA/PCA2017043/PD2019638,35.68422,02/01/2019,https://etools.unicef.org/pmp/interventions/638,LBN42017,33.39793,1159470.00 USD,PD,Village,Adolescent & Youth
ended,LBN35111,Jounieh   ,01/31/2020,Entrepreneurship Trainings for Lebanese and Non-Lebanese Youth ( GIL programme ),THE NAWAYA NETWORK,Beirut,LEBA/PCA2017043/PD2019638,35.63818,02/01/2019,https://etools.unicef.org/pmp/interventions/638,LBN35111,33.98231,1159470.00 USD,PD,Village,Adolescent & Youth
ended,LBN61057,Maghdouche   ,01/31/2020,Entrepreneurship Trainings for Lebanese and Non-Lebanese Youth ( GIL programme ),THE NAWAYA NETWORK,Beirut,LEBA/PCA2017043/PD2019638,35.38545,02/01/2019,https://etools.unicef.org/pmp/interventions/638,LBN61057,33.52262,1159470.00 USD,PD,Village,Adolescent & Youth
ended,61323,Maghdoucheh   ,01/31/2020,Entrepreneurship Trainings for Lebanese and Non-Lebanese Youth ( GIL programme ),THE NAWAYA NETWORK,Beirut,LEBA/PCA2017043/PD2019638,0,02/01/2019,https://etools.unicef.org/pmp/interventions/638,61323,0,1159470.00 USD,PD,Locality,Adolescent & Youth
ended,LBN44055,Sarba   ,01/31/2020,Entrepreneurship Trainings for Lebanese and Non-Lebanese Youth ( GIL programme ),THE NAWAYA NETWORK,Beirut,LEBA/PCA2017043/PD2019638,35.47499,02/01/2019,https://etools.unicef.org/pmp/interventions/638,LBN44055,33.46696,1159470.00 USD,PD,Village,Adolescent & Youth
ended,LBN33187,Sibline   ,01/31/2020,Entrepreneurship Trainings for Lebanese and Non-Lebanese Youth ( GIL programme ),THE NAWAYA NETWORK,Beirut,LEBA/PCA2017043/PD2019638,35.43388,02/01/2019,https://etools.unicef.org/pmp/interventions/638,LBN33187,33.62349,1159470.00 USD,PD,Village,Adolescent & Youth
ended,62111,Sour (Tyr)   ,01/31/2020,Entrepreneurship Trainings for Lebanese and Non-Lebanese Youth ( GIL programme ),THE NAWAYA NETWORK,Beirut,LEBA/PCA2017043/PD2019638,0,02/01/2019,https://etools.unicef.org/pmp/interventions/638,62111,0,1159470.00 USD,PD,Locality,Adolescent & Youth
