"end_date","form","form.category","indicator.category","indicator.description","indicator.id","indicator.listHeader","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","report.id","site.id","start_date","Funded_by","LCRP Appeal","database.id","database"
"2019-05-31","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3",NA,"i0141927036",NA,"3.2: LEB-# of individuals receiving vouchers","Individuals",73,"Barja","23005","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Barja","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1841442430","s0078288179","2019-05-01",NA,NA,10150,"LCRP-2019-R Food Security"
"2019-05-31","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3",NA,"i2037816684",NA,"3.1: SYR-# of individuals receiving vouchers","Individuals",151,"Barja","23005","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Barja","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1841442430","s0078288179","2019-05-01",NA,NA,10150,"LCRP-2019-R Food Security"
"2019-05-31","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.1",NA,"i1086933277",NA,"1.1: SYR-# of individuals receiving food parcels","Individuals",151,"Barja","23005","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Barja","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1841442430","s0078288179","2019-05-01",NA,NA,10150,"LCRP-2019-R Food Security"
"2019-05-31","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.1",NA,"i1982514065",NA,"1.2: LEB-# of individuals receiving food parcels","Individuals",73,"Barja","23005","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Barja","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1841442430","s0078288179","2019-05-01",NA,NA,10150,"LCRP-2019-R Food Security"
"2019-05-31","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.1",NA,"i1086933277",NA,"1.1: SYR-# of individuals receiving food parcels","Individuals",125,"Mina N 1","31011","Trablous","LBN56","Nord","4",NA,NA,NA,"Mina N 1","American Near East Refugee Aid","p0000020058","ANERA",NA,NA,"m1358670428","s0170069749","2019-05-01",NA,NA,10150,"LCRP-2019-R Food Security"
"2019-05-31","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.1",NA,"i1982514065",NA,"1.2: LEB-# of individuals receiving food parcels","Individuals",125,"Mina N 1","31011","Trablous","LBN56","Nord","4",NA,NA,NA,"Mina N 1","American Near East Refugee Aid","p0000020058","ANERA",NA,NA,"m1358670428","s0170069749","2019-05-01",NA,NA,10150,"LCRP-2019-R Food Security"
"2019-05-31","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.1",NA,"i1086933277",NA,"1.1: SYR-# of individuals receiving food parcels","Individuals",166,"Bourj El-Brajneh","21004","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Bourj El-Brajneh","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1985859794","s0216769831","2019-05-01",NA,NA,10150,"LCRP-2019-R Food Security"
"2019-05-31","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3",NA,"i0141927036",NA,"3.2: LEB-# of individuals receiving vouchers","Individuals",70,"Bourj El-Brajneh","21004","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Bourj El-Brajneh","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1985859794","s0216769831","2019-05-01",NA,NA,10150,"LCRP-2019-R Food Security"
"2019-05-31","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.1",NA,"i1982514065",NA,"1.2: LEB-# of individuals receiving food parcels","Individuals",70,"Bourj El-Brajneh","21004","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Bourj El-Brajneh","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1985859794","s0216769831","2019-05-01",NA,NA,10150,"LCRP-2019-R Food Security"
"2019-05-31","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3",NA,"i2037816684",NA,"3.1: SYR-# of individuals receiving vouchers","Individuals",166,"Bourj El-Brajneh","21004","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Bourj El-Brajneh","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1985859794","s0216769831","2019-05-01",NA,NA,10150,"LCRP-2019-R Food Security"
"2019-05-31","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3",NA,"i0141927036",NA,"3.2: LEB-# of individuals receiving vouchers","Individuals",165,"Mina N 1","31011","Trablous","LBN56","Nord","4",NA,NA,NA,"Mina N 1","Secours Islamique Français","p0000000174","SIF",NA,NA,"m0659950072","s0402743934","2019-05-01",NA,NA,10150,"LCRP-2019-R Food Security"
"2019-05-31","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.1",NA,"i1982514065",NA,"1.2: LEB-# of individuals receiving food parcels","Individuals",165,"Mina N 1","31011","Trablous","LBN56","Nord","4",NA,NA,NA,"Mina N 1","Secours Islamique Français","p0000000174","SIF",NA,NA,"m0659950072","s0402743934","2019-05-01",NA,NA,10150,"LCRP-2019-R Food Security"
"2019-05-31","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3",NA,"i0141927036",NA,"3.2: LEB-# of individuals receiving vouchers","Individuals",83,"Choueifat El-Aamrousiye","24001","Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Choueifat El-Aamrousiye","Secours Islamique Français","p0000000174","SIF",NA,NA,"m0684723419","s1092590228","2019-05-01",NA,NA,10150,"LCRP-2019-R Food Security"
