"end_date","form","form.category","indicator.category","indicator.description","indicator.id","indicator.listHeader","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","Site Type","report.id","site.id","start_date","database.id","database"
"2019-05-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1829710637",NA,"1.1.c_PRL_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","2","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0530823741","s0031346216","2019-05-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-11-30","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1997293853",NA,"1.1.c_PRS_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","1","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0990715232","s0031346216","2019-11-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-01-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i0834774010",NA,"1.1.c_SYR_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","2","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1874866157","s0031346216","2019-01-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-08-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1482933313",NA,"1.1.c_PRL_male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","2","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0290344501","s0031346216","2019-08-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-01-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i2123665144",NA,"1.1.c_SYR_Male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","2","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1874866157","s0031346216","2019-01-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-08-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1829710637",NA,"1.1.c_PRL_Female: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","3","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0290344501","s0031346216","2019-08-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-09-30","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1482933313",NA,"1.1.c_PRL_male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","15","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m1259143684","s0031346216","2019-09-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-06-30","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i0560184353",NA,"1.1.c_PRS_Male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","1","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0562999061","s0031346216","2019-06-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-03-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i1482933313",NA,"1.1.c_PRL_male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","1","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m2034880569","s0031346216","2019-03-01",10167,"LCRP-2019-R Palestinian Programme"
"2019-05-31","OUTCOME 1 - CHILD DEVELOPMENT (Education)",NA,"Child Development","# of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","i0560184353",NA,"1.1.c_PRS_Male: # of boys and girls, including CwDs, provided with Learning/Retention/Homework Support","Children","12","Saida Ed-Dekermane","61003","Saida","LBN61","Sud","8","LBN61113",33.53996389,35.37649167,"LOC: Ein el Hilweh Palestinian camp",NA,"p0000021368","TDH-IT",NA,NA,"Community Center","m0530823741","s0031346216","2019-05-01",10167,"LCRP-2019-R Palestinian Programme"
