"end_date","form","form.category","indicator.category","indicator.description","indicator.id","indicator.listHeader","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","report.id","site.id","start_date","database.id","database"
"2019-06-30","GOVERNORATE - OUTCOME 5: Social inclusion. Multidimensional child poverty is reduced with increased national- and community-level action for children",NA,NA,"# of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disability.","i0585188432",NA,"5.4.1.a_SYR_Female: # of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disa","Individuals","4","Halba","35030","Aakar","LBN51","Akkar","2","35111-41-001","34.543328","36.077703","DC: DTN: Halba","Mouvement Social","p0000024271","Mouvement Social",NA,NA,"m0851168566","s0106162176","2019-06-01",10191,"UNICEF-2019-R-C4D"
"2019-04-30","GOVERNORATE - OUTCOME 5: Social inclusion. Multidimensional child poverty is reduced with increased national- and community-level action for children",NA,NA,"# of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disability.","i1961820280",NA,"5.4.1.a_SYR_Male: # of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disabi","Individuals","11","Halba","35030","Aakar","LBN51","Akkar","2","35111-41-001","34.543328","36.077703","DC: DTN: Halba","Mouvement Social","p0000024271","Mouvement Social",NA,NA,"m0767576073","s0106162176","2019-04-01",10191,"UNICEF-2019-R-C4D"
"2019-07-31","GOVERNORATE - OUTCOME 5: Social inclusion. Multidimensional child poverty is reduced with increased national- and community-level action for children",NA,NA,"# of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disability.","i1961820280",NA,"5.4.1.a_SYR_Male: # of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disabi","Individuals","5","Halba","35030","Aakar","LBN51","Akkar","2","35111-41-001","34.543328","36.077703","DC: DTN: Halba","Mouvement Social","p0000024271","Mouvement Social",NA,NA,"m0343936296","s0106162176","2019-07-01",10191,"UNICEF-2019-R-C4D"
"2019-05-31","GOVERNORATE - OUTCOME 5: Social inclusion. Multidimensional child poverty is reduced with increased national- and community-level action for children",NA,NA,"# of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disability.","i0585188432",NA,"5.4.1.a_SYR_Female: # of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disa","Individuals","33","Halba","35030","Aakar","LBN51","Akkar","2","35111-41-001","34.543328","36.077703","DC: DTN: Halba","Mouvement Social","p0000024271","Mouvement Social",NA,NA,"m1234112484","s0106162176","2019-05-01",10191,"UNICEF-2019-R-C4D"
"2019-12-31","GOVERNORATE - OUTCOME 5: Social inclusion. Multidimensional child poverty is reduced with increased national- and community-level action for children",NA,NA,"# of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disability.","i1121488931",NA,"5.4.1.a_LEB_Female: # of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disa","Individuals","2","Halba","35030","Aakar","LBN51","Akkar","2","35111-41-001","34.543328","36.077703","DC: DTN: Halba","Mouvement Social","p0000024271","Mouvement Social",NA,NA,"m1900773383","s0106162176","2019-12-01",10191,"UNICEF-2019-R-C4D"
"2019-03-31","GOVERNORATE - OUTCOME 5: Social inclusion. Multidimensional child poverty is reduced with increased national- and community-level action for children",NA,NA,"# of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disability.","i1961820280",NA,"5.4.1.a_SYR_Male: # of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disabi","Individuals","13","Halba","35030","Aakar","LBN51","Akkar","2","35111-41-001","34.543328","36.077703","DC: DTN: Halba","Mouvement Social","p0000024271","Mouvement Social",NA,NA,"m0517392301","s0106162176","2019-03-01",10191,"UNICEF-2019-R-C4D"
"2019-10-31","GOVERNORATE - OUTCOME 5: Social inclusion. Multidimensional child poverty is reduced with increased national- and community-level action for children",NA,NA,"# of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disability.","i0585188432",NA,"5.4.1.a_SYR_Female: # of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disa","Individuals","22","Halba","35030","Aakar","LBN51","Akkar","2","35111-41-001","34.543328","36.077703","DC: DTN: Halba","Mouvement Social","p0000024271","Mouvement Social",NA,NA,"m1442569315","s0106162176","2019-10-01",10191,"UNICEF-2019-R-C4D"
"2019-04-30","GOVERNORATE - OUTCOME 5: Social inclusion. Multidimensional child poverty is reduced with increased national- and community-level action for children",NA,NA,"# of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disability.","i1381721927",NA,"5.4.1.a_LEB_Male: # of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disabi","Individuals","2","Halba","35030","Aakar","LBN51","Akkar","2","35111-41-001","34.543328","36.077703","DC: DTN: Halba","Mouvement Social","p0000024271","Mouvement Social",NA,NA,"m0767576073","s0106162176","2019-04-01",10191,"UNICEF-2019-R-C4D"
"2019-10-31","GOVERNORATE - OUTCOME 5: Social inclusion. Multidimensional child poverty is reduced with increased national- and community-level action for children",NA,NA,"# of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disability.","i1961820280",NA,"5.4.1.a_SYR_Male: # of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disabi","Individuals","14","Halba","35030","Aakar","LBN51","Akkar","2","35111-41-001","34.543328","36.077703","DC: DTN: Halba","Mouvement Social","p0000024271","Mouvement Social",NA,NA,"m1442569315","s0106162176","2019-10-01",10191,"UNICEF-2019-R-C4D"
"2019-08-31","GOVERNORATE - OUTCOME 5: Social inclusion. Multidimensional child poverty is reduced with increased national- and community-level action for children",NA,NA,"# of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disability.","i1381721927",NA,"5.4.1.a_LEB_Male: # of individuals (municipality, government staff, community stakeholders, UNICEF and partners) with strengthened community engagement capacity to implement SBCC and community-based interventions including child rights, gender, and disabi","Individuals","89","Halba","35030","Aakar","LBN51","Akkar","2","35111-41-001","34.543328","36.077703","DC: DTN: Halba","Mouvement Social","p0000024271","Mouvement Social",NA,NA,"m1029683917","s0106162176","2019-08-01",10191,"UNICEF-2019-R-C4D"
