"end_date","form","form.category","indicator.category","indicator.description","indicator.id","indicator.listHeader","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","Funded_by","Does your programme specifically/primarily target one of these beneficiary groups:","Local public institutions supported/involved through the implementation of activities","LCRP Appeal","Sector of Funding","report.id","site.id","start_date","Does your programme specifically/primarily target one of these beneficiary groups","Governorate","database.id","database"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i1349709820",NA,"1.1.4.2: USD amount invested in BS project(s)","USD",133516,"Minyara","35027","Aakar","LBN51","Akkar","2",NA,NA,NA,"Minyara","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands","Youth","Municipalities","Yes","Social Stability","m0935111485","s0014752875","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Minyara","35027","Aakar","LBN51","Akkar","2",NA,NA,NA,"Minyara","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands","Youth","Municipalities","Yes","Social Stability","m0935111485","s0014752875","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2018-12-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Minyara","35027","Aakar","LBN51","Akkar","2",NA,NA,NA,"Minyara","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands","Youth","Municipalities","Yes","Social Stability","m0227764545","s0014752875","2018-12-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0386997780",NA,"1.1.4.3: # municipalities benefiting from completed BS project(s)","Municipalities",1,"Minyara","35027","Aakar","LBN51","Akkar","2",NA,NA,NA,"Minyara","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands","Youth","Municipalities","Yes","Social Stability","m0935111485","s0014752875","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i1500102327",NA,"1.1.4.1: # recreationnal BS project completed","Projects",1,"Minyara","35027","Aakar","LBN51","Akkar","2",NA,NA,NA,"Minyara","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands","Youth","Municipalities","Yes","Social Stability","m0935111485","s0014752875","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.5: Community Support Projects",NA,"i0267479640",NA,"1.1.5.1: # recreational CSP project completed","Projects",2,"Baaqline","23022","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Baaqline","Mercy Corps","p0000000253","Mercy Corps",NA,NA,"UK","Women,Youth","Municipalities,Union of Municipalities","Yes","Social Stability","m0470678482","s0096931802","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.5: Community Support Projects",NA,"i0661845411",NA,"1.1.5.2: USD amount invested in CSP project(s)","USD",10197,"Baaqline","23022","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Baaqline","Mercy Corps","p0000000253","Mercy Corps",NA,NA,"UK","Women,Youth","Municipalities,Union of Municipalities","Yes","Social Stability","m0470678482","s0096931802","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.5: Community Support Projects",NA,"i1274818575",NA,"1.1.5.3: # municipalities benefiting from completed CSP project(s)","Municipalities",9,"Baaqline","23022","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Baaqline","Mercy Corps","p0000000253","Mercy Corps",NA,NA,"UK","Women,Youth","Municipalities,Union of Municipalities","Yes","Social Stability","m0470678482","s0096931802","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.5: Community Support Projects",NA,"i0532486538",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.5 will be ongoing in this location","1",1,"Baaqline","23022","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Baaqline","Mercy Corps","p0000000253","Mercy Corps",NA,NA,"UK","Women,Youth","Municipalities,Union of Municipalities","Yes","Social Stability","m0470678482","s0096931802","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.1: Increased Services based on participatory processes delivered at municipal level- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.1.4: Basic services projects",NA,"i0218258259",NA,"Put '1' in THIS LINE for each month for which Activity-1.1.4 will be ongoing in this location","1",1,"Chhim","23013","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Chhim","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m1247160867","s0209840825","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
