"end_date","form","form.category","indicator.category","indicator.description","indicator.id","indicator.listHeader","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","Funded_by","Sector of Funding","Government Strategy Supported","LCRP Appeal","Economic Sector targeted by intervention","report.id","site.id","start_date","Does your programme specifically/primarily target one of these beneficiary groups?","Governorate","For UNICEF Partners","Training certified/accredited","database.id","database"
"2019-02-28","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"Indicator for all partners supporting MSMEs. It includes, but is not limited to, businesses directly supported by Value Chain interventions. 
Supported Lebanese MSMEs & cooperatives who report increasing profits and improving production or services as a r","i1332964774",NA,"Outcome 1- # of MSMEs with increased revenues / improved production","MSMEs",29,NA,NA,NA,NA,"Baalbek_Hermel","3",NA,NA,NA,"Baalbek_Hermel","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m0781254777","s0043923045","2019-02-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-01-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"Indicator for all partners supporting MSMEs. It includes, but is not limited to, businesses directly supported by Value Chain interventions. 
Supported Lebanese MSMEs & cooperatives who report increasing profits and improving production or services as a r","i1332964774",NA,"Outcome 1- # of MSMEs with increased revenues / improved production","MSMEs",20,NA,NA,NA,NA,"Baalbek_Hermel","3",NA,NA,NA,"Baalbek_Hermel","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m1690920961","s0043923045","2019-01-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-02-28","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"*Jobs: include seasonal, part-time and full-time jobs.
*New jobs created: businesses who have hired new employees for a minimum duration of three months since the support was provided – this includes individual who works part-time or full-time, formally o","i0908972425",NA,"Outcome 1 - # of decent jobs maintained in supported MSMEs/cooperatives &value chains","Jobs",29,NA,NA,NA,NA,"Baalbek_Hermel","3",NA,NA,NA,"Baalbek_Hermel","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m0781254777","s0043923045","2019-02-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-02-28","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,NA,"i0650244747",NA,"Output 1.2:USD value of investment to support VC development","USD",6400,NA,NA,NA,NA,"Baalbek_Hermel","3",NA,NA,NA,"Baalbek_Hermel","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m0781254777","s0043923045","2019-02-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-01-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"*Jobs: include seasonal, part-time and full-time jobs.
*New jobs created: businesses who have hired new employees for a minimum duration of three months since the support was provided – this includes individual who works part-time or full-time, formally o","i0908972425",NA,"Outcome 1 - # of decent jobs maintained in supported MSMEs/cooperatives &value chains","Jobs",20,NA,NA,NA,NA,"Baalbek_Hermel","3",NA,NA,NA,"Baalbek_Hermel","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m1690920961","s0043923045","2019-01-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-03-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,NA,"i0650244747",NA,"Output 1.2:USD value of investment to support VC development","USD",7600,NA,NA,NA,NA,"Baalbek_Hermel","3",NA,NA,NA,"Baalbek_Hermel","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m0651000655","s0043923045","2019-03-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-03-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"Indicator for all partners supporting MSMEs. It includes, but is not limited to, businesses directly supported by Value Chain interventions. 
Supported Lebanese MSMEs & cooperatives who report increasing profits and improving production or services as a r","i1332964774",NA,"Outcome 1- # of MSMEs with increased revenues / improved production","MSMEs",39,NA,NA,NA,NA,"Baalbek_Hermel","3",NA,NA,NA,"Baalbek_Hermel","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m0651000655","s0043923045","2019-03-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-03-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"*Jobs: include seasonal, part-time and full-time jobs.
*New jobs created: businesses who have hired new employees for a minimum duration of three months since the support was provided – this includes individual who works part-time or full-time, formally o","i0908972425",NA,"Outcome 1 - # of decent jobs maintained in supported MSMEs/cooperatives &value chains","Jobs",39,NA,NA,NA,NA,"Baalbek_Hermel","3",NA,NA,NA,"Baalbek_Hermel","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m0651000655","s0043923045","2019-03-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-01-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,NA,"i0650244747",NA,"Output 1.2:USD value of investment to support VC development","USD",37000,NA,NA,NA,NA,"Baalbek_Hermel","3",NA,NA,NA,"Baalbek_Hermel","Al Majmouaa","p0000019506","Al Majmouaa",NA,NA,"Others","Livelihoods","MOET SME strategy,Other","Yes","Utilities,Hospitality and Tourism,Home Based and Services,Manufacturing,ICT and Finance,Construction and Transportation,Agriculture,Agro-Industry,Other service activities","m1690920961","s0043923045","2019-01-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
"2019-03-31","Outcome & Output Indicators 1 - Governorate","Outcome 1: Stimulate local economic development to create income generating opportunities and employment",NA,"Indicator for all partners supporting MSMEs. It includes, but is not limited to, businesses directly supported by Value Chain interventions. 
Supported Lebanese MSMEs & cooperatives who report increasing profits and improving production or services as a r","i1332964774",NA,"Outcome 1- # of MSMEs with increased revenues / improved production","MSMEs",11,NA,NA,NA,NA,"Akkar","2",NA,NA,NA,"Akkar","International Rescue Committee","p0000000016","IRC",NA,NA,"Germany","Livelihoods","Other","Yes","Utilities,Home Based and Services,Manufacturing,Construction and Transportation,Agriculture","m2119941972","s0334609706","2019-03-01",NA,NA,NA,NA,10219,"LCRP-2019-R Livelihoods"
