"end_date","form","form.category","indicator.category","indicator.description","indicator.id","indicator.listHeader","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","Funded_by","report.id","site.id","start_date","database.id","database"
"2019-02-28","OUTPUT 4.1: Strengthened government capacity to implement and monitor inclusive and gender responsive youth policies for Lebanese and Non-Lebanese youth ",NA,"Training under UNICEF Supported Programmes","# of teachers, education personnel, trainers and educators under UNICEF-supported programmes","i1306529567","Denominator","4.1.c_Leb_Female_19-25: # of teachers, education personnel, trainers and educators under UNICEF-supported programmes","Individuals","2","Chiyah","21007","Baabda","LBN32","Mont Liban","5","LBN320049",33.86113,35.51024,"LOC: Ghobeire","Mouvement Social","p0000014744","Mouvement Social",NA,NA,"UNICEF","m1513725033","s0394457981","2019-02-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-01-31","OUTPUT 4.1: Strengthened government capacity to implement and monitor inclusive and gender responsive youth policies for Lebanese and Non-Lebanese youth ",NA,"Training under UNICEF Supported Programmes","# of teachers, education personnel, trainers and educators under UNICEF-supported programmes","i1212772086","Denominator","4.1.c_Leb_Male_25-above: # of teachers, education personnel, trainers and educators under UNICEF-supported programmes","Individuals","2","Aamayer","35162ND","Aakar","LBN51","Akkar","2","35512-01-001",34.6369,36.3676,"IS: Aamayer Ouadi Khaled 001",NA,"p0000013589","AND",NA,NA,"UNICEF","m0243667765","s1159197064","2019-01-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-01-31","OUTPUT 4.1: Strengthened government capacity to implement and monitor inclusive and gender responsive youth policies for Lebanese and Non-Lebanese youth ",NA,"Training under UNICEF Supported Programmes","# of teachers, education personnel, trainers and educators under UNICEF-supported programmes","i1212772086","Denominator","4.1.c_Leb_Male_25-above: # of teachers, education personnel, trainers and educators under UNICEF-supported programmes","Individuals","2","Hrar","35203ND","Aakar","LBN51","Akkar","2","LBN51152",34.45746,36.12158,"LOC: Hrar",NA,"p0000013589","AND",NA,NA,"UNICEF","m0785575516","s1214577658","2019-01-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-02-28","OUTPUT 4.1: Strengthened government capacity to implement and monitor inclusive and gender responsive youth policies for Lebanese and Non-Lebanese youth ",NA,"Training under UNICEF Supported Programmes","# of teachers, education personnel, trainers and educators under UNICEF-supported programmes","i1306529567","Denominator","4.1.c_Leb_Female_19-25: # of teachers, education personnel, trainers and educators under UNICEF-supported programmes","Individuals","1","Nabatieh Et-Tahta","71104","El Nabatieh","LBN44","Nabatiye","9","LBN44016",33.3762,35.48015,"LOC: Es Serail","Mouvement Social","p0000014744","Mouvement Social",NA,NA,"UNICEF","m1859396856","s1255241700","2019-02-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-02-28","OUTPUT 4.1: Strengthened government capacity to implement and monitor inclusive and gender responsive youth policies for Lebanese and Non-Lebanese youth ",NA,"Training under UNICEF Supported Programmes","# of teachers, education personnel, trainers and educators under UNICEF-supported programmes","i0958055867","Denominator","4.1.c_Leb_Female_25-above: # of teachers, education personnel, trainers and educators under UNICEF-supported programmes","Individuals","2","Bourj Hammoud","22001","Metn","LBN36","Mont Liban","5","LBN36040",33.88768,35.54119,"LOC: Borj Hammoud","Mouvement Social","p0000014744","Mouvement Social",NA,NA,"UNICEF","m0091452217","s1302419413","2019-02-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-02-28","OUTPUT 4.1: Strengthened government capacity to implement and monitor inclusive and gender responsive youth policies for Lebanese and Non-Lebanese youth ",NA,"Training under UNICEF Supported Programmes","# of teachers, education personnel, trainers and educators under UNICEF-supported programmes","i1212772086","Denominator","4.1.c_Leb_Male_25-above: # of teachers, education personnel, trainers and educators under UNICEF-supported programmes","Individuals","2","Saida El-Qadimeh","61002","Saida","LBN61","Sud","8","LBN61110",33.5626,35.3687,"LOC: Dekerman","Mouvement Social","p0000014744","Mouvement Social",NA,NA,"UNICEF","m0786560018","s1506836833","2019-02-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"Employment Support Service","# of youth supported with employment support services","i1191870117","Mentorship","4.2.g_Mentorship_Leb_Male: # of youth supported with employment support services","Adol/Youth","0","Sibline","23006","Chouf","LBN33","Mont Liban","5","LBN33187",33.62349,35.43388,"LOC: Sibline",NA,"p0000018773","UNRWA",NA,NA,"UNICEF","m1872704131","s0012948079","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"Employment Support Service","# of youth supported with employment support services","i1048789189","Mentorship","4.2.g_Mentorship_OTH_Female: # of youth supported with employment support services","Adol/Youth","1","Sibline","23006","Chouf","LBN33","Mont Liban","5","LBN33187",33.62349,35.43388,"LOC: Sibline",NA,"p0000018773","UNRWA",NA,NA,"UNICEF","m1872704131","s0012948079","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"Employment Support Service","# of youth supported with employment support services","i1760169694","Mentorship","4.2.g_Mentorship_Leb_Female: # of youth supported with employment support services","Adol/Youth","3","Sibline","23006","Chouf","LBN33","Mont Liban","5","LBN33187",33.62349,35.43388,"LOC: Sibline",NA,"p0000018773","UNRWA",NA,NA,"UNICEF","m1872704131","s0012948079","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
"2019-03-31","OUTPUT 4.2: Increased access of Lebanese and Non-Lebanese youth (15-24 years) to technical and vocational training and innovative skills building programmes for improved professional readiness and employability",NA,"Employment Support Service","# of youth supported with employment support services","i0489519411","Mentorship","4.2.g_Mentorship_SYR_Male: # of youth supported with employment support services","Adol/Youth","0","Sibline","23006","Chouf","LBN33","Mont Liban","5","LBN33187",33.62349,35.43388,"LOC: Sibline",NA,"p0000018773","UNRWA",NA,NA,"UNICEF","m1872704131","s0012948079","2019-03-01",10284,"LCRP-2019-R-Youth & Adolescents"
