"Database","DatabaseId","Folder","Form","FormId","ParentForm","ParentFormId","RecordId","ai_allsites.alternate_name","ai_allsites.geographic_location.latitude","ai_allsites.geographic_location.longitude","ai_allsites.name","cadastral_area.code","cadastral_area.name","caza.code","caza.name","comment","comments","funded_by.full_name","funded_by.funded_by","governorate.code","governorate.name","month","partner.name","partner.partner_full_name","projects.comment","projects.end_date","projects.plan","projects.project_code","projects.project_name","projects.start_date","site_type","Quantity.Field.ID","Quantity.Field.Code","Quantity.Field","Value"
"0. 2020 Sectors Reporting ","ck2yrizmo2","14- Palestinian Programme","Monthly Reporting","ck4sa7znfj","OUTCOME 2 - Child Protection","ck4sa5gk98","k6al5vtv3","35277_09_001",34.51338056,35.96009722,"PC: Nahr el Bared",35002,"Mhammaret","LBN51","Aakar","community center and UNRWA PHC",NA,NA,"UNICEF",2,"Akkar","2020-01","MAP","Medical Aid for Palestinians","Amendment #1,2,3, 4","2020-12-31",NA,"LEBA/PCA2017055/PD2019676","UNICEF - Strengthening Community-Based Child Protection, Gender Based Violence interventions, and Psychosocial Support in Pales...","2019-06-01","Community Center","ck4svygrc59",NA,"2.1.a_SYR_Female: # of girls and boys engaged in community based child protection activities",3
"0. 2020 Sectors Reporting ","ck2yrizmo2","14- Palestinian Programme","Monthly Reporting","ck4sa7znfj","OUTCOME 2 - Child Protection","ck4sa5gk98","k6amag9x3","37231_09_001",34.44174167,35.87207778,"PC: Beddawi",37017,"Beddaoui","LBN55","Miniyeh-Danniyeh","community center and UNRWA school",NA,NA,"UNICEF",4,"Nord","2020-01","MAP","Medical Aid for Palestinians","Amendment #1,2,3, 4","2020-12-31",NA,"LEBA/PCA2017055/PD2019676","UNICEF - Strengthening Community-Based Child Protection, Gender Based Violence interventions, and Psychosocial Support in Pales...","2019-06-01","Community Center","ck4svygrc59",NA,"2.1.a_SYR_Female: # of girls and boys engaged in community based child protection activities",56
"0. 2020 Sectors Reporting ","ck2yrizmo2","14- Palestinian Programme","Monthly Reporting","ck4sa7znfj","OUTCOME 2 - Child Protection","ck4sa5gk98","k6amusly6","PG_15",33.81136116,35.87032839,"PG: Taalbaya/Saadnayel",51054,"Taalbaya","LBN25","Zahleh","Community center and UNRWA PHC",NA,NA,"UNICEF",6,"Bekaa","2020-01","MAP","Medical Aid for Palestinians","Amendment #1,2,3, 4","2020-12-31",NA,"LEBA/PCA2017055/PD2019676","UNICEF - Strengthening Community-Based Child Protection, Gender Based Violence interventions, and Psychosocial Support in Pales...","2019-06-01","Community Center","ck4svygrc59",NA,"2.1.a_SYR_Female: # of girls and boys engaged in community based child protection activities",13
"0. 2020 Sectors Reporting ","ck2yrizmo2","14- Palestinian Programme","Monthly Reporting","ck4sa7znfj","OUTCOME 2 - Child Protection","ck4sa5gk98","k6anjj219","21111_09_001",33.86346667,35.50030278,"PC: Shatila",21007,"Chiyah","LBN32","Baabda","Community center, UNRWA PHC and UNRWA school",NA,NA,"UNICEF",5,"Mont Liban","2020-01","MAP","Medical Aid for Palestinians","Amendment #1,2,3, 4","2020-12-31",NA,"LEBA/PCA2017055/PD2019676","UNICEF - Strengthening Community-Based Child Protection, Gender Based Violence interventions, and Psychosocial Support in Pales...","2019-06-01","Community Center","ck4svygrc59",NA,"2.1.a_SYR_Female: # of girls and boys engaged in community based child protection activities",24
"0. 2020 Sectors Reporting ","ck2yrizmo2","14- Palestinian Programme","Monthly Reporting","ck4sa7znfj","OUTCOME 2 - Child Protection","ck4sa5gk98","k6anpykza","21177_09_001",33.84196667,35.50392222,"PC: Burj el Brajneh",21004,"Bourj El-Brajneh","LBN32","Baabda","Community center, UNRWA PHC and UNRWA school",NA,NA,"UNICEF",5,"Mont Liban","2020-01","MAP","Medical Aid for Palestinians","Amendment #1,2,3, 4","2020-12-31",NA,"LEBA/PCA2017055/PD2019676","UNICEF - Strengthening Community-Based Child Protection, Gender Based Violence interventions, and Psychosocial Support in Pales...","2019-06-01","Community Center","ck4svygrc59",NA,"2.1.a_SYR_Female: # of girls and boys engaged in community based child protection activities",5
"0. 2020 Sectors Reporting ","ck2yrizmo2","14- Palestinian Programme","Monthly Reporting","ck4sa7znfj","OUTCOME 2 - Child Protection","ck4sa5gk98","k6aocta1c","62111_09_002",33.27306667,35.21165278,"PC: El Buss",62006,"Sour","LBN63","Sour",NA,NA,NA,"UNICEF",8,"Sud","2020-01","MAP","Medical Aid for Palestinians","Amendment #1,2,3, 4","2020-12-31",NA,"LEBA/PCA2017055/PD2019676","UNICEF - Strengthening Community-Based Child Protection, Gender Based Violence interventions, and Psychosocial Support in Pales...","2019-06-01","Community Center","ck4svygrc59",NA,"2.1.a_SYR_Female: # of girls and boys engaged in community based child protection activities",3
"0. 2020 Sectors Reporting ","ck2yrizmo2","14- Palestinian Programme","Monthly Reporting","ck4sa7znfj","OUTCOME 2 - Child Protection","ck4sa5gk98","k6ap10t2e","62111_09_001",33.24123611,35.21504444,"PC: Rashidieh",62006,"Sour","LBN63","Sour","Community center, UNRWA PHC",NA,NA,"UNICEF",8,"Sud","2020-01","MAP","Medical Aid for Palestinians","Amendment #1,2,3, 4","2020-12-31",NA,"LEBA/PCA2017055/PD2019676","UNICEF - Strengthening Community-Based Child Protection, Gender Based Violence interventions, and Psychosocial Support in Pales...","2019-06-01","Community Center","ck4svygrc59",NA,"2.1.a_SYR_Female: # of girls and boys engaged in community based child protection activities",9
"0. 2020 Sectors Reporting ","ck2yrizmo2","14- Palestinian Programme","Monthly Reporting","ck4sa7znfj","OUTCOME 2 - Child Protection","ck4sa5gk98","k6ap59hnf","62128_09_001",33.267917,35.237731,"PC: Burj el Shemali",62004,"Borj Ech-Chemali","LBN63","Sour",NA,NA,NA,"UNICEF",8,"Sud","2020-01","MAP","Medical Aid for Palestinians","Amendment #1,2,3, 4","2020-12-31",NA,"LEBA/PCA2017055/PD2019676","UNICEF - Strengthening Community-Based Child Protection, Gender Based Violence interventions, and Psychosocial Support in Pales...","2019-06-01","Community Center","ck4svygrc59",NA,"2.1.a_SYR_Female: # of girls and boys engaged in community based child protection activities",8
"0. 2020 Sectors Reporting ","ck2yrizmo2","14- Palestinian Programme","Monthly Reporting","ck4sa7znfj","OUTCOME 2 - Child Protection","ck4sa5gk98","k6vwneuv6","PG_29",33.62962484,35.42281694,"PG: Wadi El Zeini",23006,"Sibline","LBN33","Chouf",NA,NA,NA,"UNICEF",5,"Mont Liban","2020-01","ARCPA","Arab Resource Center for Popular Arts",NA,"2020-06-30",NA,"LEBA/PCA2017057/PD2019679","UNICEF - CoPE: Community Protection and Empowerment - Phase IV","2019-06-01","Community Center","ck4svygrc59",NA,"2.1.a_SYR_Female: # of girls and boys engaged in community based child protection activities",10
"0. 2020 Sectors Reporting ","ck2yrizmo2","14- Palestinian Programme","Monthly Reporting","ck4sa7znfj","OUTCOME 2 - Child Protection","ck4sa5gk98","k6vxvohfa","53111_09_001",33.99745833,36.18029722,"PC: Wavell",53001,"Baalbek","LBN21","Baalbek",NA,NA,NA,"UNICEF",3,"Baalbek_Hermel","2020-01","ARCPA","Arab Resource Center for Popular Arts",NA,"2020-06-30",NA,"LEBA/PCA2017057/PD2019679","UNICEF - CoPE: Community Protection and Empowerment - Phase IV","2019-06-01","Community Center","ck4svygrc59",NA,"2.1.a_SYR_Female: # of girls and boys engaged in community based child protection activities",3
"0. 2020 Sectors Reporting ","ck2yrizmo2","14- Palestinian Programme","Monthly Reporting","ck4sa7znfj","OUTCOME 2 - Child Protection","ck4sa5gk98","k7br0kb14","37231_09_001",34.44174167,35.87207778,"PC: Beddawi",37017,"Beddaoui","LBN55","Miniyeh-Danniyeh","community center and UNRWA school",NA,NA,"UNICEF",4,"Nord","2020-02","MAP","Medical Aid for Palestinians","Amendment #1,2,3, 4","2020-12-31",NA,"LEBA/PCA2017055/PD2019676","UNICEF - Strengthening Community-Based Child Protection, Gender Based Violence interventions, and Psychosocial Support in Pales...","2019-06-01","Community Center","ck4svygrc59",NA,"2.1.a_SYR_Female: # of girls and boys engaged in community based child protection activities",29
"0. 2020 Sectors Reporting ","ck2yrizmo2","14- Palestinian Programme","Monthly Reporting","ck4sa7znfj","OUTCOME 2 - Child Protection","ck4sa5gk98","k7braej55","35277_09_001",34.51338056,35.96009722,"PC: Nahr el Bared",35002,"Mhammaret","LBN51","Aakar","community center and UNRWA PHC",NA,NA,"UNICEF",2,"Akkar","2020-02","MAP","Medical Aid for Palestinians","Amendment #1,2,3, 4","2020-12-31",NA,"LEBA/PCA2017055/PD2019676","UNICEF - Strengthening Community-Based Child Protection, Gender Based Violence interventions, and Psychosocial Support in Pales...","2019-06-01","Community Center","ck4svygrc59",NA,"2.1.a_SYR_Female: # of girls and boys engaged in community based child protection activities",6
"0. 2020 Sectors Reporting ","ck2yrizmo2","14- Palestinian Programme","Monthly Reporting","ck4sa7znfj","OUTCOME 2 - Child Protection","ck4sa5gk98","k7brg3x46","PG_13",33.77845444,35.90585397,"PG: Bar Elias",51057,"Barr Elias","LBN25","Zahleh","Community center and UNRWA PHC",NA,NA,"UNICEF",6,"Bekaa","2020-02","MAP","Medical Aid for Palestinians","Amendment #1,2,3, 4","2020-12-31",NA,"LEBA/PCA2017055/PD2019676","UNICEF - Strengthening Community-Based Child Protection, Gender Based Violence interventions, and Psychosocial Support in Pales...","2019-06-01","Community Center","ck4svygrc59",NA,"2.1.a_SYR_Female: # of girls and boys engaged in community based child protection activities",15
"0. 2020 Sectors Reporting ","ck2yrizmo2","14- Palestinian Programme","Monthly Reporting","ck4sa7znfj","OUTCOME 2 - Child Protection","ck4sa5gk98","k7brln5n7","PG_15",33.81136116,35.87032839,"PG: Taalbaya/Saadnayel",51054,"Taalbaya","LBN25","Zahleh","Community center and UNRWA PHC",NA,NA,"UNICEF",6,"Bekaa","2020-02","MAP","Medical Aid for Palestinians","Amendment #1,2,3, 4","2020-12-31",NA,"LEBA/PCA2017055/PD2019676","UNICEF - Strengthening Community-Based Child Protection, Gender Based Violence interventions, and Psychosocial Support in Pales...","2019-06-01","Community Center","ck4svygrc59",NA,"2.1.a_SYR_Female: # of girls and boys engaged in community based child protection activities",10
"0. 2020 Sectors Reporting ","ck2yrizmo2","14- Palestinian Programme","Monthly Reporting","ck4sa7znfj","OUTCOME 2 - Child Protection","ck4sa5gk98","k7bs2mv99","21111_09_001",33.86346667,35.50030278,"PC: Shatila",21007,"Chiyah","LBN32","Baabda","Community center, UNRWA PHC and UNRWA school",NA,NA,"UNICEF",5,"Mont Liban","2020-02","MAP","Medical Aid for Palestinians","Amendment #1,2,3, 4","2020-12-31",NA,"LEBA/PCA2017055/PD2019676","UNICEF - Strengthening Community-Based Child Protection, Gender Based Violence interventions, and Psychosocial Support in Pales...","2019-06-01","Community Center","ck4svygrc59",NA,"2.1.a_SYR_Female: # of girls and boys engaged in community based child protection activities",30
