"Database","DatabaseId","Folder","Form","FormId","ParentForm","ParentFormId","RecordId","caza.code","caza.name","comment","funded_by.full_name","funded_by.funded_by","governorate.code","governorate.name","month","partner.name","partner.partner_full_name","projects.comment","projects.end_date","projects.project_code","projects.project_name","projects.start_date","Quantity.Field.ID","Quantity.Field.Code","Quantity.Field","Value"
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k67qy2015","LBN31","Aaley",NA,NA,"UNHCR",5,"Mont Liban","2020-01","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",2
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k67r0ett7","LBN32","Baabda",NA,NA,"UNHCR",5,"Mont Liban","2020-01","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",74
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k67r3hj59","LBN33","Chouf",NA,NA,"UNHCR",5,"Mont Liban","2020-01","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",25
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k67r4xm9b","LBN36","Metn",NA,NA,"UNHCR",5,"Mont Liban","2020-01","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",49
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k67r8pq0d","LBN35","Kesrouane",NA,NA,"UNHCR",5,"Mont Liban","2020-01","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",6
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k67rc1rkf","LBN11","Beirut",NA,NA,"UNHCR",7,"Beyrouth","2020-01","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",48
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k67rexg8h","LBN34","Jbayl",NA,NA,"UNHCR",5,"Mont Liban","2020-01","Makhzoumi","Makhzoumi Foundation","...","2020-12-31","1155014-Makhzoumi Foundation","Makhzoumi Foundation","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",6
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k6dw81oo4","LBN25","Zahleh",NA,NA,"UNHCR",6,"Bekaa","2020-01","WVI","World Vision International",NA,"2020-12-31","UNHCR/LBN01/2020/Pillar 1/0000000525","Provision of Basic Assistance for Syrian Refugees in Bekaa","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",330
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k6qjipb12w","LBN25","Zahleh",NA,NA,"Germany",6,"Bekaa","2020-01","NRC","Norweigan Refugee Council",NA,"2020-03-31","LBFM1811","KFW","2019-07-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",27
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k6qjk3hp2y","LBN21","Baalbek",NA,NA,"Germany",3,"Baalbek_Hermel","2020-01","NRC","Norweigan Refugee Council",NA,"2020-03-31","LBFM1811","KFW","2019-07-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",2
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k6t0quf46","LBN56","Trablous",NA,NA,"PRIVATE DONORS",4,"Nord","2020-01","ANERA","ANERA Lebanon",NA,"2020-02-29","NA","Winter Cash Assistance","2020-01-02","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","01- Basic Assistance","Monthly Reporting:","ck3ib73wjt","District Level Reporting","ck3iatacrj","k6tbb4urv","LBN51","Aakar",NA,NA,"UNHCR",2,"Akkar","2020-01","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01","i1102395609",NA,"1.1.1.1_SYR:# of affected households profiled (# HH Visits)",181
