"Database","DatabaseId","Folder","Form","FormId","ParentForm","ParentFormId","RecordId","caza.code","caza.name","comment","governorate.code","governorate.name","month","partner.name","partner.partner_full_name","reporting_section","Quantity.Field.ID","Quantity.Field.Code","Quantity.Field","Value"
"COVID-19 Response | UNICEF Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","Pillar 1 - National Level Reporting","ck9fohayv8","cka59tlbv5",NA,NA,"Comms:  30-04-2020 People reached through TV media campaign 80.1% =% people having TV (Labor force survey) 66.46% is the highes...",NA,NA,"2020-04-30","UNICEF","United Nations Children's Funds","Communications","ck9vy17nv2z",NA,"1.1: # of people reached on COVID-19 through messaging on prevention and access to services (NATIONAL)",3201457
"COVID-19 Response | UNICEF Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","Pillar 1 - National Level Reporting","ck9fohayv8","c55l87dkao20gzq2",NA,NA,"Comms:  30-04-2020 People reached through TV media campaign 80.1% =% people having TV (Labor force survey) 66.46% is the highes...",NA,NA,"2020-05-26","UNICEF","United Nations Children's Funds","Communications","ck9vy17nv2z",NA,"1.1: # of people reached on COVID-19 through messaging on prevention and access to services (NATIONAL)",109863
"COVID-19 Response | UNICEF Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","Pillar 1 - National Level Reporting","ck9fohayv8","cka5d9fhlb",NA,NA,NA,NA,NA,"2020-04-20","UNICEF","United Nations Children's Funds","Comms. 4 Development","cka4h3trip",NA,"1.2_SYR_Male: # of Individuals engaged on COVID-19 through RCCE actions (NATIONAL)",10
"COVID-19 Response | UNICEF Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","Pillar 1 - National Level Reporting","ck9fohayv8","clt36ujkansk8b82",NA,NA,NA,NA,NA,"2020-05-26","UNICEF","United Nations Children's Funds","Comms. 4 Development","cka4h3trip",NA,"1.2_SYR_Male: # of Individuals engaged on COVID-19 through RCCE actions (NATIONAL)",1
"COVID-19 Response | UNICEF Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","Pillar 1 - National Level Reporting","ck9fohayv8","ch2t77dkcmz7nrr2",NA,NA,NA,NA,NA,"2020-07-15","UNICEF","United Nations Children's Funds","Comms. 4 Development","cka4h3trip",NA,"1.2_SYR_Male: # of Individuals engaged on COVID-19 through RCCE actions (NATIONAL)",33
"COVID-19 Response | UNICEF Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","Pillar 1 - National Level Reporting","ck9fohayv8","cnmbzhekf58uvg76",NA,NA,NA,NA,NA,"2020-09-16","UNICEF","United Nations Children's Funds","Comms. 4 Development","cka4h3trip",NA,"1.2_SYR_Male: # of Individuals engaged on COVID-19 through RCCE actions (NATIONAL)",7
"COVID-19 Response | UNICEF Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","Pillar 1 - National Level Reporting","ck9fohayv8","cat2rjgkg9dzqlib",NA,NA,NA,NA,NA,"2020-10-14","UNICEF","United Nations Children's Funds","Comms. 4 Development","cka4h3trip",NA,"1.2_SYR_Male: # of Individuals engaged on COVID-19 through RCCE actions (NATIONAL)",1
"COVID-19 Response | UNICEF Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","Pillar 1 - National Level Reporting","ck9fohayv8","cvc6zzpkhn7994p3",NA,NA,NA,NA,NA,"2020-11-18","UNICEF","United Nations Children's Funds","Comms. 4 Development","cka4h3trip",NA,"1.2_SYR_Male: # of Individuals engaged on COVID-19 through RCCE actions (NATIONAL)",4
"COVID-19 Response | UNICEF Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","Pillar 1 - National Level Reporting","ck9fohayv8","cka5d9fhlb",NA,NA,NA,NA,NA,"2020-04-20","UNICEF","United Nations Children's Funds","Comms. 4 Development","cka4h3triq",NA,"1.2_SYR_Female: # of Individuals engaged on COVID-19 through RCCE actions (NATIONAL)",9
"COVID-19 Response | UNICEF Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","Pillar 1 - National Level Reporting","ck9fohayv8","cnmbzhekf58uvg76",NA,NA,NA,NA,NA,"2020-09-16","UNICEF","United Nations Children's Funds","Comms. 4 Development","cka4h3triq",NA,"1.2_SYR_Female: # of Individuals engaged on COVID-19 through RCCE actions (NATIONAL)",6
"COVID-19 Response | UNICEF Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","Pillar 1 - National Level Reporting","ck9fohayv8","cat2rjgkg9dzqlib",NA,NA,NA,NA,NA,"2020-10-14","UNICEF","United Nations Children's Funds","Comms. 4 Development","cka4h3triq",NA,"1.2_SYR_Female: # of Individuals engaged on COVID-19 through RCCE actions (NATIONAL)",1
