"Database","DatabaseId","Folder","Form","FormId","ParentForm","ParentFormId","RecordId","X2.3.1._training_modules_are_developed_and_tested_by_cerd","X2.3.2._a_baseline_study_on_public_school_teachers_in_lebanon_is_published","X2.3.2._a_child_friendly_version_of_the_mehe.s_cp_policy_is_drafted._designed_and_rolled_out","X2.3.2._a_community.centric_school_maintenance_policy_adopted_and_enforced_by_mehe","X2.3.2._a_national_strategy.policy_on_inclusive_education_is_validated_by_the_mehe","X2.3.2._policy_documents_on_the_institutionalization_of_ttcm_are_available","X2.3.2._qualitative_study_on_gender_dimensions_of_violence_against_children_in_schools_is_published","X2.3.2._the_inter.ministerial_national_strategy_on_child_marriage_in_education_is_implemented","X2.3.3._technical_review_of_alp_packages_conducted_as_applicable","X2.3.3._technical_review_of_cb.ece_packages_conducted_as_applicable","X2.3.4._the_content_of_the_remedial.homework_support_package_is_revised_to_cater_for_lebanese_and_non.lebanese_children_in_basic_education","X2.3.5._document_available_on_unicef.s_standardised_rates_and_procedures_to_support_the_mehe.unicef_awp","X2.3.5._technical_assistance_and.or_deployment_support","X2.3.5._technical_support_for_contingency_planning","X2.3.5._technical_support_for_curriculum_review","X2.3.6._the_race_ii_mtr_document._oriented_towards_lebanon.s_sdg4_goals._is_completed_and_validated_by_the_mehe_and_rec","children_with_disability_in_retention_support","comment","disability._children_with_a_disability_enrolled_in_nfe_programs","funded_by.full_name","funded_by.funded_by","governorate.code","governorate.name","language_program_venue","month","outreach_platform_._questionnaire_used_by_partner","partner.name","partner.partner_full_name","projects.comment","projects.end_date","projects.plan","projects.project_code","projects.project_name","projects.start_date","remedial.homework_support_programs_venue","Quantity.Field.ID","Quantity.Field.Code","Quantity.Field","Value"
"0. 2020 Sectors Reporting ","ck2yrizmo2","Volunteers","Monthly Reporting","ck4o67zmin","Volunteers in Public Schools and Communities","ck47e6z5r31","k6967f457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNHCR",5,"Mont Liban",NA,"2020-01",NA,"Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31",NA,"LBN01 / 2020 / 0000000500 / 000","UNHCR BML","2020-01-01",NA,"i0416025694",NA,"2.2.7_SCH_ECL: # of 2nd-shift public schools with education community liaison volunteers",58
"0. 2020 Sectors Reporting ","ck2yrizmo2","Volunteers","Monthly Reporting","ck4o67zmin","Volunteers in Public Schools and Communities","ck47e6z5r31","k6ql36lff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNHCR-Bekaa",NA,NA,"UNHCR",6,"Bekaa",NA,"2020-01",NA,"IRC","International Rescue Committee","UNHCR-Bekaa","2020-12-31",NA,"LBN01/2020/Pillar 1/0000000521/000","Strengthening Protection and Education for Syrian refugees in Bekaa","2020-01-01",NA,"i0416025694",NA,"2.2.7_SCH_ECL: # of 2nd-shift public schools with education community liaison volunteers",82
"0. 2020 Sectors Reporting ","ck2yrizmo2","Volunteers","Monthly Reporting","ck4o67zmin","Volunteers in Public Schools and Communities","ck47e6z5r31","k6tc0n891b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNHCR",8,"Sud",NA,"2020-01",NA,"Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31",NA,"LBN01 / 2020 / 0000000504 / 000","UNHCR South","2020-01-01",NA,"i0416025694",NA,"2.2.7_SCH_ECL: # of 2nd-shift public schools with education community liaison volunteers",22
"0. 2020 Sectors Reporting ","ck2yrizmo2","Volunteers","Monthly Reporting","ck4o67zmin","Volunteers in Public Schools and Communities","ck47e6z5r31","k6utgo732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNHCR",9,"Nabatiye",NA,"2020-01",NA,"Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31",NA,"LBN01 / 2020 / 0000000504 / 000","UNHCR South","2020-01-01",NA,"i0416025694",NA,"2.2.7_SCH_ECL: # of 2nd-shift public schools with education community liaison volunteers",14
"0. 2020 Sectors Reporting ","ck2yrizmo2","Volunteers","Monthly Reporting","ck4o67zmin","Volunteers in Public Schools and Communities","ck47e6z5r31","ck7kk1hxcg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNHCR",5,"Mont Liban",NA,"2020-02",NA,"Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31",NA,"LBN01 / 2020 / 0000000500 / 000","UNHCR BML","2020-01-01",NA,"i0416025694",NA,"2.2.7_SCH_ECL: # of 2nd-shift public schools with education community liaison volunteers",5
"0. 2020 Sectors Reporting ","ck2yrizmo2","Volunteers","Monthly Reporting","ck4o67zmin","Volunteers in Public Schools and Communities","ck47e6z5r31","ck7kk2efbh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNHCR",7,"Beyrouth",NA,"2020-01",NA,"Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31",NA,"LBN01 / 2020 / 0000000500 / 000","UNHCR BML","2020-01-01",NA,"i0416025694",NA,"2.2.7_SCH_ECL: # of 2nd-shift public schools with education community liaison volunteers",13
"0. 2020 Sectors Reporting ","ck2yrizmo2","Volunteers","Monthly Reporting","ck4o67zmin","Volunteers in Public Schools and Communities","ck47e6z5r31","ck7kk3hsui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNHCR",8,"Sud",NA,"2020-02",NA,"Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31",NA,"LBN01 / 2020 / 0000000504 / 000","UNHCR South","2020-01-01",NA,"i0416025694",NA,"2.2.7_SCH_ECL: # of 2nd-shift public schools with education community liaison volunteers",4
"0. 2020 Sectors Reporting ","ck2yrizmo2","Volunteers","Monthly Reporting","ck4o67zmin","Volunteers in Public Schools and Communities","ck47e6z5r31","ck7kk4p1xj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNHCR",9,"Nabatiye",NA,"2020-02",NA,"Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31",NA,"LBN01 / 2020 / 0000000504 / 000","UNHCR South","2020-01-01",NA,"i0416025694",NA,"2.2.7_SCH_ECL: # of 2nd-shift public schools with education community liaison volunteers",1
"0. 2020 Sectors Reporting ","ck2yrizmo2","Volunteers","Monthly Reporting","ck4o67zmin","Volunteers in Public Schools and Communities","ck47e6z5r31","ck7kkbbofn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNHCR",2,"Akkar",NA,"2020-02",NA,"Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31",NA,"LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01",NA,"i0416025694",NA,"2.2.7_SCH_ECL: # of 2nd-shift public schools with education community liaison volunteers",42
"0. 2020 Sectors Reporting ","ck2yrizmo2","Volunteers","Monthly Reporting","ck4o67zmin","Volunteers in Public Schools and Communities","ck47e6z5r31","ck7kkccbwo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNHCR",4,"Nord",NA,"2020-02",NA,"Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31",NA,"LBN01 / 2020 / 0000000529 / 000","UNHCR North","2020-01-01",NA,"i0416025694",NA,"2.2.7_SCH_ECL: # of 2nd-shift public schools with education community liaison volunteers",39
