"Database","DatabaseId","Folder","Form","FormId","ParentForm","ParentFormId","RecordId","caza.code","caza.name","comment","funded_by.full_name","funded_by.funded_by","governorate.code","governorate.name","month","partner.name","partner.partner_full_name","projects.comment","projects.end_date","projects.plan","projects.project_code","projects.project_name","projects.start_date","Quantity.Field.ID","Quantity.Field.Code","Quantity.Field","Value"
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","k6rskwat6","LBN21","Baalbek",NA,NA,"ECHO",3,"Baalbek_Hermel","2020-01","DRC","Danish Refugee Council",NA,"2020-03-31",NA,"ECHO/SYR/BUD/2019/91000","Strengthening protection of refugees and host populations in Lebanon: integrating protection programming, referral management,...","2019-04-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",0
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","k6tdiqv14","LBN32","Baabda",NA,NA,"UNICEF",5,"Mont Liban","2020-01","KAFA","KAFA",NA,"2020-01-31",NA,"LEBA/PCA2017063/PD2019690","Protecting children, adolescents and women from Gender Based Violence (phase VII)","2019-06-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",15
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","k6tea6pf3","LBN11","Beirut",NA,NA,"UNICEF",7,"Beyrouth","2020-01","KAFA","KAFA",NA,"2020-01-31",NA,"LEBA/PCA2017063/PD2019690","Protecting children, adolescents and women from Gender Based Violence (phase VII)","2019-06-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",29
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","ck7fw9y964","LBN51","Aakar","ECHO/SAID Mobile",NA,"ECHO",2,"Akkar","2020-02","IRC","International Rescue Committee",NA,"2020-03-31",NA,"EC457","ECHO-Integrated Protection and Education Response to Syrian Refugees in Lebanon","2019-03-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",19
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","ck7fyjrdj6","LBN56","Trablous",NA,NA,"UNHCR",4,"Nord","2020-02","DRC","Danish Refugee Council",NA,"2020-12-31",NA,"1060001","Protection and Community Engagement Support to Syrian Refugees in North Lebanon","2020-01-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",0
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","ck7fz6v528","LBN21","Baalbek","RRT - Arsal + MAQ + Hermel",NA,"UNICEF",3,"Baalbek_Hermel","2020-02","IRC","International Rescue Committee",NA,"2020-12-31",NA,"LEBA/PCA2017024/PD2020733","UNICEF- Strengthening prevention and response services for women girls at risks and survivors of violence in Lebanon","2020-01-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",9
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","ck7fzgk0hc","LBN51","Aakar",NA,NA,"ECHO",2,"Akkar","2020-02","DRC","Danish Refugee Council",NA,"2020-03-31",NA,"ECHO/SYR/BUD/2019/91000","Strengthening protection of refugees and host populations in Lebanon: integrating protection programming, referral management,...","2019-04-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",4
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","ck8o5okpv2","LBN51","Aakar",NA,NA,"ECHO",2,"Akkar","2020-03","DRC","Danish Refugee Council",NA,"2020-03-31",NA,"ECHO/SYR/BUD/2019/91000","Strengthening protection of refugees and host populations in Lebanon: integrating protection programming, referral management,...","2019-04-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",4
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","ck8pvnldy6","LBN21","Baalbek","RRT - Arsal + MAQ + Hermel",NA,"UNICEF",3,"Baalbek_Hermel","2020-03","IRC","International Rescue Committee",NA,"2020-12-31",NA,"LEBA/PCA2017024/PD2020733","UNICEF- Strengthening prevention and response services for women girls at risks and survivors of violence in Lebanon","2020-01-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",9
"0. 2020 Sectors Reporting ","ck2yrizmo2","09- SGBV","Monthly Reporting","ck485zxlf5l","District Level Reporting","ck485zgsf5d","ceyqrf4kc633vzz2","LBN56","Trablous",NA,NA,"UNICEF",4,"Nord","2020-06","LECORVAW","LECORVAW",NA,"2020-12-31",NA,"LEBA/PCA2017028- PD Ref. No.: PD2020729.","Empower and secure vulnerable women and girls Phase 4.","2019-12-01","i1368992931",NA,"3.2.A. (Age < 18): # participants in the FGD (Tool 1 of SGBV M&E Toolkit)",19
