"end_date","form","form.category","indicator.category","indicator.id","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","Local public institutions supported/involved through the implementation of activities","LCRP Appeal","Sector of Funding","Does your programme specifically/primarily target one of these beneficiary groups:","Funded_by","report.id","site.id","start_date","Does your programme specifically/primarily target one of these beneficiary groups","Governorate","database.id","database"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Habbouch En-Nabatiyeh","71099","El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"Habbouch En-Nabatiyeh","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1233872271","s0031369595","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-06-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Habbouch En-Nabatiyeh","71099","El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"Habbouch En-Nabatiyeh","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m0220795407","s0031369595","2018-06-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.1","i1760771944","1.1.1.1: # of host community-led participatory committees/processes established with local governance institutions","Committees / pr",1,"Habbouch En-Nabatiyeh","71099","El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"Habbouch En-Nabatiyeh","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1233872271","s0031369595","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.3","i0803268145","1.1.3.1:  # of municipalities receiving direct support on strategic planning & service delivery","Municipalities",1,"Habbouch En-Nabatiyeh","71099","El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"Habbouch En-Nabatiyeh","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1233872271","s0031369595","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-05-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Habbouch En-Nabatiyeh","71099","El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"Habbouch En-Nabatiyeh","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1024579308","s0031369595","2018-05-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.1","i0330857018","1.1.1.3: # of male municipal officials participating","Officials",1,"Habbouch En-Nabatiyeh","71099","El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"Habbouch En-Nabatiyeh","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1233872271","s0031369595","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.1.3","i1582318680","1.1.3.3:  # of  male officials trained on strategic planning & service delivery","Officials",4,"Habbouch En-Nabatiyeh","71099","El Nabatieh","LBN44","Nabatiye","9",NA,NA,NA,"Habbouch En-Nabatiyeh","Agency for Technical Cooperation and Development","p0000000255","ACTED",NA,NA,"Municipalities,Union of Municipalities","Yes","Social Stability",NA,"EuropeAid","m1233872271","s0031369595","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-03-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Khirbet Qanafar","52031","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Khirbet Qanafar","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Netherlands","m1160354704","s0080341790","2018-03-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-04-30","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability",NA,"i1786869163","Put '1' in THIS LINE for each month for which your programme will be ongoing in this location","1",1,"Khirbet Qanafar","52031","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Khirbet Qanafar","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Netherlands","m2084364011","s0080341790","2018-04-01",NA,NA,8415,"LCRP-2018-R Social Stability"
"2018-05-31","Output-1.1 & 1.2: Support to municipalities & Solid Waste- Cadastre","Social Stability","Activity-1.2.1","i1328349330","1.2.1.2: USD value of solid waste management projects","USD",73242,"Khirbet Qanafar","52031","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Khirbet Qanafar","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Municipalities","Yes","Social Stability",NA,"Netherlands","m1929368916","s0080341790","2018-05-01",NA,NA,8415,"LCRP-2018-R Social Stability"
