"end_date","form","form.category","indicator.category","indicator.id","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","Funded_by","report.id","site.id","start_date","database.id","database"
"2018-02-28","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",36782,NA,NA,"Aakar","LBN51","Akkar","2",NA,NA,NA,"Aakar","World Food Programme","p0000000365","WFP",NA,NA,"WFP","m0956049061","s0059817131","2018-02-01",8419,"LCRP-2018-R Basic Assistance"
"2018-02-28","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",212,NA,NA,"Aakar","LBN51","Akkar","2",NA,NA,NA,"Aakar","World Food Programme","p0000000365","WFP",NA,NA,"WFP","m0956049061","s0059817131","2018-02-01",8419,"LCRP-2018-R Basic Assistance"
"2018-01-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",36608.5,NA,NA,"Aakar","LBN51","Akkar","2",NA,NA,NA,"Aakar","World Food Programme","p0000000365","WFP",NA,NA,"WFP","m1590376668","s0059817131","2018-01-01",8419,"LCRP-2018-R Basic Assistance"
"2018-03-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",36608.5,NA,NA,"Aakar","LBN51","Akkar","2",NA,NA,NA,"Aakar","World Food Programme","p0000000365","WFP",NA,NA,"WFP","m0552567245","s0059817131","2018-03-01",8419,"LCRP-2018-R Basic Assistance"
"2018-04-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",36782,NA,NA,"Aakar","LBN51","Akkar","2",NA,NA,NA,"Aakar","World Food Programme","p0000000365","WFP",NA,NA,"WFP","m1161013657","s0059817131","2018-04-01",8419,"LCRP-2018-R Basic Assistance"
"2018-04-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",212,NA,NA,"Aakar","LBN51","Akkar","2",NA,NA,NA,"Aakar","World Food Programme","p0000000365","WFP",NA,NA,"WFP","m1161013657","s0059817131","2018-04-01",8419,"LCRP-2018-R Basic Assistance"
"2018-03-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",211,NA,NA,"Aakar","LBN51","Akkar","2",NA,NA,NA,"Aakar","World Food Programme","p0000000365","WFP",NA,NA,"WFP","m0552567245","s0059817131","2018-03-01",8419,"LCRP-2018-R Basic Assistance"
"2018-01-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",211,NA,NA,"Aakar","LBN51","Akkar","2",NA,NA,NA,"Aakar","World Food Programme","p0000000365","WFP",NA,NA,"WFP","m1590376668","s0059817131","2018-01-01",8419,"LCRP-2018-R Basic Assistance"
"2018-04-30","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i1592673344","1.1.2.1:DisSyr- # of households receiving multi-sector/ purpose cash transfers (total reached every month)","Household",330,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","United Nations High Commisioner for Refugees","p0000000029","UNHCR",NA,NA,"UNHCR","m1029634879","s0070990593","2018-04-01",8419,"LCRP-2018-R Basic Assistance"
"2018-05-31","Output-1.1:[CASH & HH VISITS] Multipurpose cash assistance grants to the most socio-economically vulnerable households provided",NA,NA,"i0057449805","1.1.2.2:DisSyr- Total USD amount distributed","USD",58275,NA,NA,"Aaley","LBN31","Mont Liban","5",NA,NA,NA,"Aaley","United Nations High Commisioner for Refugees","p0000000029","UNHCR",NA,NA,"UNHCR","m1887820780","s0070990593","2018-05-01",8419,"LCRP-2018-R Basic Assistance"
