"end_date","form","form.category","indicator.category","indicator.id","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","report.id","site.id","start_date","Funded_by","LCRP Appeal","database.id","database"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i0624395133","3.3: PRL-# of individuals receiving vouchers","Unit",5,"Bourj El-Brajneh","21004","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Bourj El-Brajneh","Secours Islamique Français","p0000000174","SIF",NA,NA,"m0008714058","s0156184045","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i0425651398","3.4: PRS-# of individuals receiving vouchers","Unit",1,"Bourj El-Brajneh","21004","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Bourj El-Brajneh","Secours Islamique Français","p0000000174","SIF",NA,NA,"m0008714058","s0156184045","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i1422544540","3.5: OTH-# of individuals receiving vouchers","Unit",30,"Bourj El-Brajneh","21004","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Bourj El-Brajneh","Secours Islamique Français","p0000000174","SIF",NA,NA,"m0008714058","s0156184045","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i1274198874","3.1: DisSyr-# of individuals receiving vouchers","Unit",77,"Bourj El-Brajneh","21004","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Bourj El-Brajneh","Secours Islamique Français","p0000000174","SIF",NA,NA,"m0008714058","s0156184045","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i1274198874","3.1: DisSyr-# of individuals receiving vouchers","Unit",168,"Chiyah","21007","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Chiyah","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1374323389","s0231247568","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i1422544540","3.5: OTH-# of individuals receiving vouchers","Unit",10,"Chiyah","21007","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Chiyah","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1374323389","s0231247568","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i1422544540","3.5: OTH-# of individuals receiving vouchers","Unit",3,"Mazraa foncière","10009","Beirut","LBN11","Beyrouth","7",NA,NA,NA,"Mazraa foncière","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1258761796","s0345108874","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i1274198874","3.1: DisSyr-# of individuals receiving vouchers","Unit",32,"Mazraa foncière","10009","Beirut","LBN11","Beyrouth","7",NA,NA,NA,"Mazraa foncière","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1258761796","s0345108874","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i1274198874","3.1: DisSyr-# of individuals receiving vouchers","Unit",2,"Hadath Beyrouth","21002","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Hadath Beyrouth","Secours Islamique Français","p0000000174","SIF",NA,NA,"m0495230473","s0594397157","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i1274198874","3.1: DisSyr-# of individuals receiving vouchers","Unit",221,"Furn Ech-Chebbak","21003","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Furn Ech-Chebbak","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1453450725","s0707259401","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
"2018-06-30","Ramadan Food Distribution","Ramadan Food Distribution","Activity 1.3","i0332178918","3.2: LEB-# of individuals receiving vouchers","Unit",51,"Furn Ech-Chebbak","21003","Baabda","LBN32","Mont Liban","5",NA,NA,NA,"Furn Ech-Chebbak","Secours Islamique Français","p0000000174","SIF",NA,NA,"m1453450725","s0707259401","2018-06-01",NA,NA,8444,"LCRP-2018-R Food Security"
