"Database","DatabaseId","Folder","Form","FormId","ParentForm","ParentFormId","RecordId","ai_allsites.alternate_name","ai_allsites.geographic_location.latitude","ai_allsites.geographic_location.longitude","ai_allsites.name","cadastral_area.code","cadastral_area.name","caza.code","caza.name","children_with_disability","comment","covid_adaptation","covid_adapted_sensitization","funded_by.full_name","funded_by.funded_by","governorate.code","governorate.name","month","partner.name","partner.partner_full_name","projects.comment","projects.end_date","projects.project_code","projects.project_name","projects.start_date","Quantity.Field.ID","Quantity.Field.Code","Quantity.Field","Value"
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck4fv6ipm9","Community engagement","ck4fuib9g3","k67xthvw12",NA,NA,NA,NA,NA,NA,"LBN21","Baalbek",NA,NA,NA,NA,NA,"UNICEF",3,"Baalbek_Hermel","2020-01","SAWA Group","SAWA Group",NA,"2020-01-15","LEBA/PCA2017039/PD2019673","Strengthening the Child protection environment and building resilience amongst the most vulnerable children communities in Leba...","2019-05-16","i0112209512",NA,"4.3.4: # of child protection initiatives conducted to prevent child marriage, child labour and violence against children and women in communities",1
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck4fv6ipm9","Community engagement","ck4fuib9g3","k6qxaylqg",NA,NA,NA,NA,NA,NA,"LBN56","Trablous",NA,NA,NA,NA,NA,"Switzerland",4,"Nord","2020-01","IRC","International Rescue Committee",NA,"2020-10-31","EX101","Access to Justice","2018-11-01","i0112209512",NA,"4.3.4: # of child protection initiatives conducted to prevent child marriage, child labour and violence against children and women in communities",1
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck4fv6ipm9","Community engagement","ck4fuib9g3","k71nhvihe",NA,NA,NA,NA,NA,NA,"LBN21","Baalbek",NA,"Chmestar December and January",NA,NA,NA,"Expertise France",3,"Baalbek_Hermel","2020-01","ABAAD","ABAAD-Resource Center for Gender Equality",NA,"2020-02-29","2018-SB-040-16SSE0C058-Qudra-GRANT-ABAAD","Qudra 2 – Resilience for refugees, IDPs, returnees and host communities in response to the protracted Syrian and Iraqi crises","2019-12-01","i0112209512",NA,"4.3.4: # of child protection initiatives conducted to prevent child marriage, child labour and violence against children and women in communities",2
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck4fv6ipm9","Community engagement","ck4fuib9g3","k71ohpc6h",NA,NA,NA,NA,NA,NA,"LBN22","Hermel",NA,"Qaa December and January",NA,NA,NA,"Expertise France",3,"Baalbek_Hermel","2020-01","ABAAD","ABAAD-Resource Center for Gender Equality",NA,"2020-02-29","2018-SB-040-16SSE0C058-Qudra-GRANT-ABAAD","Qudra 2 – Resilience for refugees, IDPs, returnees and host communities in response to the protracted Syrian and Iraqi crises","2019-12-01","i0112209512",NA,"4.3.4: # of child protection initiatives conducted to prevent child marriage, child labour and violence against children and women in communities",2
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck4fv6ipm9","Community engagement","ck4fuib9g3","k71oj3s6j",NA,NA,NA,NA,NA,NA,"LBN34","Jbayl",NA,"Ghazir December and January",NA,NA,NA,"Expertise France",5,"Mont Liban","2020-01","ABAAD","ABAAD-Resource Center for Gender Equality",NA,"2020-02-29","2018-SB-040-16SSE0C058-Qudra-GRANT-ABAAD","Qudra 2 – Resilience for refugees, IDPs, returnees and host communities in response to the protracted Syrian and Iraqi crises","2019-12-01","i0112209512",NA,"4.3.4: # of child protection initiatives conducted to prevent child marriage, child labour and violence against children and women in communities",1
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck4fv6ipm9","Community engagement","ck4fuib9g3","k71ol1isl",NA,NA,NA,NA,NA,NA,"LBN32","Baabda",NA,"Ain el remmene December and January",NA,NA,NA,"Expertise France",5,"Mont Liban","2020-01","ABAAD","ABAAD-Resource Center for Gender Equality",NA,"2020-02-29","2018-SB-040-16SSE0C058-Qudra-GRANT-ABAAD","Qudra 2 – Resilience for refugees, IDPs, returnees and host communities in response to the protracted Syrian and Iraqi crises","2019-12-01","i0112209512",NA,"4.3.4: # of child protection initiatives conducted to prevent child marriage, child labour and violence against children and women in communities",2
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck4fv6ipm9","Community engagement","ck4fuib9g3","k7efpo4ag",NA,NA,NA,NA,NA,NA,"LBN36","Metn",NA,NA,NA,NA,NA,"PRIVATE DONORS",5,"Mont Liban","2020-02","Caritas Lebanon","Caritas Lebanon",NA,"2020-12-31","RABLT-2017.2020","Many Donors - RABLT","2017-01-01","i0112209512",NA,"4.3.4: # of child protection initiatives conducted to prevent child marriage, child labour and violence against children and women in communities",0
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck4fv6ipm9","Community engagement","ck4fuib9g3","ck7k6nmh42",NA,NA,NA,NA,NA,NA,"LBN21","Baalbek",NA,"Chmestar December and January",NA,NA,NA,"Expertise France",3,"Baalbek_Hermel","2020-02","ABAAD","ABAAD-Resource Center for Gender Equality",NA,"2020-02-29","2018-SB-040-16SSE0C058-Qudra-GRANT-ABAAD","Qudra 2 – Resilience for refugees, IDPs, returnees and host communities in response to the protracted Syrian and Iraqi crises","2019-12-01","i0112209512",NA,"4.3.4: # of child protection initiatives conducted to prevent child marriage, child labour and violence against children and women in communities",1
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck4fv6ipm9","Community engagement","ck4fuib9g3","ck7k6qmnx3",NA,NA,NA,NA,NA,NA,"LBN22","Hermel",NA,"Qaa December and January",NA,NA,NA,"Expertise France",3,"Baalbek_Hermel","2020-02","ABAAD","ABAAD-Resource Center for Gender Equality",NA,"2020-02-29","2018-SB-040-16SSE0C058-Qudra-GRANT-ABAAD","Qudra 2 – Resilience for refugees, IDPs, returnees and host communities in response to the protracted Syrian and Iraqi crises","2019-12-01","i0112209512",NA,"4.3.4: # of child protection initiatives conducted to prevent child marriage, child labour and violence against children and women in communities",1
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck4fv6ipm9","Community engagement","ck4fuib9g3","ck7k6r9q54",NA,NA,NA,NA,NA,NA,"LBN34","Jbayl",NA,"Ghazir December and January",NA,NA,NA,"Expertise France",5,"Mont Liban","2020-02","ABAAD","ABAAD-Resource Center for Gender Equality",NA,"2020-02-29","2018-SB-040-16SSE0C058-Qudra-GRANT-ABAAD","Qudra 2 – Resilience for refugees, IDPs, returnees and host communities in response to the protracted Syrian and Iraqi crises","2019-12-01","i0112209512",NA,"4.3.4: # of child protection initiatives conducted to prevent child marriage, child labour and violence against children and women in communities",1
"0.LCRP 2020 Sectors Reporting ","ck2yrizmo2","Community-based Child Protection Activities","Monthly Reporting","ck4fv6ipm9","Community engagement","ck4fuib9g3","ck7k6s46c5",NA,NA,NA,NA,NA,NA,"LBN32","Baabda",NA,"Ain el remmene December and January",NA,NA,NA,"Expertise France",5,"Mont Liban","2020-02","ABAAD","ABAAD-Resource Center for Gender Equality",NA,"2020-02-29","2018-SB-040-16SSE0C058-Qudra-GRANT-ABAAD","Qudra 2 – Resilience for refugees, IDPs, returnees and host communities in response to the protracted Syrian and Iraqi crises","2019-12-01","i0112209512",NA,"4.3.4: # of child protection initiatives conducted to prevent child marriage, child labour and violence against children and women in communities",1
