"Database","DatabaseId","Folder","Form","FormId","ParentForm","ParentFormId","RecordId","comment","month","reporting_office","reporting_officer_.account.","Quantity.Field.ID","Quantity.Field.Code","Quantity.Field","Value"
"0. 2020 Sectors Reporting ","ck2yrizmo2","17 - UNICEF Programmes Reporting","Monthly Reporting","ck7x6m6dm9","Field RWP 2020 Reporting","ck7x6kuhf3","c82dm0kih4y4ei3",NA,"2020-11","BML Office","salamine","ck7xaey4js",NA,"# of child focused budgeted plans that are in place",4
"0. 2020 Sectors Reporting ","ck2yrizmo2","17 - UNICEF Programmes Reporting","Monthly Reporting","ck7x6m6dm9","Field RWP 2020 Reporting","ck7x6kuhf3","csxc0vhkih56mmu5",NA,"2020-11","East Office","salamine","ck7xaey4js",NA,"# of child focused budgeted plans that are in place",0
"0. 2020 Sectors Reporting ","ck2yrizmo2","17 - UNICEF Programmes Reporting","Monthly Reporting","ck7x6m6dm9","Field RWP 2020 Reporting","ck7x6kuhf3","cltisp2kih58sx07",NA,"2020-11","North Office","salamine","ck7xaey4js",NA,"# of child focused budgeted plans that are in place",1
"0. 2020 Sectors Reporting ","ck2yrizmo2","17 - UNICEF Programmes Reporting","Monthly Reporting","ck7x6m6dm9","Field RWP 2020 Reporting","ck7x6kuhf3","c82dm0kih4y4ei3",NA,"2020-11","BML Office","salamine","ck7xaey4jt",NA,"# of targeted institutional actors committed to address child rights needs (Governors, Unions of Municipalities, Municipalities)",11
"0. 2020 Sectors Reporting ","ck2yrizmo2","17 - UNICEF Programmes Reporting","Monthly Reporting","ck7x6m6dm9","Field RWP 2020 Reporting","ck7x6kuhf3","csxc0vhkih56mmu5",NA,"2020-11","East Office","salamine","ck7xaey4jt",NA,"# of targeted institutional actors committed to address child rights needs (Governors, Unions of Municipalities, Municipalities)",7
"0. 2020 Sectors Reporting ","ck2yrizmo2","17 - UNICEF Programmes Reporting","Monthly Reporting","ck7x6m6dm9","Field RWP 2020 Reporting","ck7x6kuhf3","cltisp2kih58sx07",NA,"2020-11","North Office","salamine","ck7xaey4jt",NA,"# of targeted institutional actors committed to address child rights needs (Governors, Unions of Municipalities, Municipalities)",11
"0. 2020 Sectors Reporting ","ck2yrizmo2","17 - UNICEF Programmes Reporting","Monthly Reporting","ck7x6m6dm9","Field RWP 2020 Reporting","ck7x6kuhf3","c82dm0kih4y4ei3",NA,"2020-11","BML Office","salamine","ck7xaey4jv",NA,"# of functional coordination mechanisms at municipal level",4
"0. 2020 Sectors Reporting ","ck2yrizmo2","17 - UNICEF Programmes Reporting","Monthly Reporting","ck7x6m6dm9","Field RWP 2020 Reporting","ck7x6kuhf3","csxc0vhkih56mmu5",NA,"2020-11","East Office","salamine","ck7xaey4jv",NA,"# of functional coordination mechanisms at municipal level",1
"0. 2020 Sectors Reporting ","ck2yrizmo2","17 - UNICEF Programmes Reporting","Monthly Reporting","ck7x6m6dm9","Field RWP 2020 Reporting","ck7x6kuhf3","cltisp2kih58sx07",NA,"2020-11","North Office","salamine","ck7xaey4jv",NA,"# of functional coordination mechanisms at municipal level",1
"0. 2020 Sectors Reporting ","ck2yrizmo2","17 - UNICEF Programmes Reporting","Monthly Reporting","ck7x6m6dm9","Field RWP 2020 Reporting","ck7x6kuhf3","c82dm0kih4y4ei3",NA,"2020-11","BML Office","salamine","ck7xaey4jx",NA,"# of Local/Municipal child friendly data systems established",1
