"Database","DatabaseId","Folder","Form","FormId","ParentForm","ParentFormId","RecordId","caza.code","caza.name","comment","governorate.code","governorate.name","month","partner.name","partner.partner_full_name","reporting_section","Quantity.Field.ID","Quantity.Field.Code","Quantity.Field","Value"
"COVID-19 Response | Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","National Level Reporting","ck9fohayv8","cka26puqbb",NA,NA,NA,NA,NA,"2020-03-31","AND","AND",NA,"ck9vy17nv2z",NA,"1.1: # of people reached on COVID-19 through messaging on prevention and access to services",189
"COVID-19 Response | Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","National Level Reporting","ck9fohayv8","cka26relsc",NA,NA,NA,NA,NA,"2020-04-30","AND","AND",NA,"ck9vy17nv2z",NA,"1.1: # of people reached on COVID-19 through messaging on prevention and access to services",1466
"COVID-19 Response | Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","National Level Reporting","ck9fohayv8","cka3ppdef1s",NA,NA,NA,NA,NA,"2020-05-12","ANERA","ANERA Lebanon","WASH","ck9vy17nv2z",NA,"1.1: # of people reached on COVID-19 through messaging on prevention and access to services",71876
"COVID-19 Response | Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","National Level Reporting","ck9fohayv8","cka59tlbv5",NA,NA,"Comms: People reached through TV media campaign 80.1% =% people having TV (Labor force survey) 66.46% is the highest rate on LB...",NA,NA,"2020-04-30","UNICEF","United Nations Children's Funds","Communications","ck9vy17nv2z",NA,"1.1: # of people reached on COVID-19 through messaging on prevention and access to services",3201457
"COVID-19 Response | Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","National Level Reporting","ck9fohayv8","cuautfxkagqbywlf",NA,NA,NA,NA,NA,"2020-05-21","ANERA","ANERA Lebanon","Palestinian Prog.","ck9vy17nv2z",NA,"1.1: # of people reached on COVID-19 through messaging on prevention and access to services",13668
"COVID-19 Response | Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","National Level Reporting","ck9fohayv8","c2nmhsjkai2e2fe2",NA,NA,NA,NA,NA,"2020-05-22","ANERA","ANERA Lebanon","WASH","ck9vy17nv2z",NA,"1.1: # of people reached on COVID-19 through messaging on prevention and access to services",71876
"COVID-19 Response | Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","National Level Reporting","ck9fohayv8","cka5d9fhlb",NA,NA,NA,NA,NA,"2020-04-20","UNICEF","United Nations Children's Funds","Comms. 4 Development","cka4h3trip",NA,"1.2_SYR_Male: # of Individuals engaged on COVID-19 through RCCE actions (NATIONAL)",10
"COVID-19 Response | Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","National Level Reporting","ck9fohayv8","cka5d9fhlb",NA,NA,NA,NA,NA,"2020-04-20","UNICEF","United Nations Children's Funds","Comms. 4 Development","cka4h3triq",NA,"1.2_SYR_Female: # of Individuals engaged on COVID-19 through RCCE actions (NATIONAL)",9
"COVID-19 Response | Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","National Level Reporting","ck9fohayv8","cka5d9fhlb",NA,NA,NA,NA,NA,"2020-04-20","UNICEF","United Nations Children's Funds","Comms. 4 Development","cka4h3trir",NA,"1.2_LEB_Male: # of Individuals engaged on COVID-19 through RCCE actions (NATIONAL)",739
"COVID-19 Response | Reporting Database","ck8oa3x1c3","Pillar 1 - Risk Communication and Community Engagement (RCCE)","Monthly Reporting","ck9vy0q942t","National Level Reporting","ck9fohayv8","cka5e0n1sd",NA,NA,NA,NA,NA,"2020-05-12","UNICEF","United Nations Children's Funds","Comms. 4 Development","cka4h3trir",NA,"1.2_LEB_Male: # of Individuals engaged on COVID-19 through RCCE actions (NATIONAL)",13
